run_id,generation,best_sharpe
20250807-104233,1,1.1716125170160039
20250807-104233,2,1.1716125170160039
20250807-104233,3,1.1716125170160039
20250807-104233,4,1.1716125170160039
20250807-104233,5,1.1716125170160039
20250807-104233,6,1.1716125170160039
20250807-104233,7,1.1716125170160039
20250807-104233,8,1.1718262662706445
20250807-104233,9,1.172544082563599
20250807-104233,10,1.172544082563599
20250809-090643,1,1.0476258167579768
20250809-090643,2,1.0476258167579768
20250809-090643,3,1.0476258167579768
20250809-090643,4,1.0476258167579768
20250809-090643,5,1.0476258167579768
20250809-090643,6,1.0476258167579768
20250809-090643,7,1.0476258167579768
20250809-090643,8,1.0476258167579768
20250809-090643,9,1.0476258167579768
20250809-090643,10,1.0476258167579768
20250811-083632,1,1.0624654250878816
20250811-083632,2,1.0624654250878816
20250811-083632,3,1.0624654250878816
20250811-083632,4,1.0624654250878816
20250811-083632,5,1.0624654250878816
20250811-083632,6,1.0624654250878816
20250811-083632,7,1.0624654250878816
20250811-083632,8,1.0624654250878816
20250811-083632,9,1.0624654250878816
20250811-083632,10,1.0624654250878816
20250812-050936,1,0.6671322571102167
20250812-050936,2,0.6671322571102167
20250812-050936,3,0.6671322571102167
20250812-050936,4,0.6671322571102167
20250812-050936,5,0.6671322571102167
20250812-050936,6,0.6671322571102167
20250812-050936,7,0.6671322571102167
20250812-050936,8,0.6671322571102167
20250812-050936,9,0.6671322571102167
20250812-050936,10,0.6671322571102167
