run_start_timestamp,2.0.0_version,param_load_duration_s,data_load_duration_s,overall_script_duration_s,pdfs_found,pdfs_processed,status,execution_time,error
2026-03-07 07:01:19,B1_Process_Notes,0.0,0.0,0.0,0,0,error,0.0033190250396728516,'PosixPath' object has no attribute 'get'
2026-03-07 07:40:38,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.005827188491821289
2026-03-07 07:40:38,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.009149312973022461
2026-03-07 08:05:41,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0024099349975585938
2026-03-07 08:05:41,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0059871673583984375
20260328-185359,2026-03-29 04:13:11,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.004182100296020508
20260328-185359,2026-03-29 04:13:11,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.008208036422729492
20260329-101714,2026-03-29 11:24:49,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0021228790283203125
20260329-101714,2026-03-29 11:24:49,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0031888484954833984
20260330-200710,2026-03-30 20:37:07,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006119966506958008
20260331-210616,2026-03-31 21:31:20,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.005969047546386719
20260402-134924,2026-04-02 14:09:56,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.003045797348022461
20260402-134924,2026-04-02 14:09:56,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0052509307861328125
20260403-090929,2026-04-03 09:30:00,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0023250579833984375
20260403-090929,2026-04-03 09:30:00,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.003898143768310547
20260404-072616,2026-04-04 07:46:48,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.002767324447631836
20260404-072616,2026-04-04 07:46:48,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0063931941986083984
20260406-211427,2026-04-06 21:41:29,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006175041198730469
20260406-222822,2026-04-06 22:46:53,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.005536079406738281
20260407-211712,2026-04-07 21:34:13,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.004662036895751953
20260408-220322,2026-04-08 22:27:23,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006182193756103516
20260409-200414,2026-04-09 20:22:45,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.004770994186401367
20260410-223139,2026-04-10 23:05:12,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.0038390159606933594
20260410-223139,2026-04-10 23:05:12,B1_Process_Notes,0.0,0.0,0.0,0,0,success,0.006250143051147461
20260413-204255,2026-04-13 21:07:57,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.010009765625
20260413-222502,2026-04-13 22:49:34,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.008707046508789062
20260415-224919,2026-04-15 23:11:51,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006407022476196289
20260417-140838,2026-04-17 14:24:39,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006903648376464844
20260420-060251,2026-04-20 06:33:31,B1_Process_Notes,0.0,0.0,0.0,10,0,10,4994.73,0.03,success,0.006657123565673828
20260420-145138,2026-04-20 15:10:43,B1_Process_Notes,0.0,0.0,0.0,11,1,10,4994.73,0.03,success,0.3632199764251709
20260420-224310,2026-04-20 23:15:42,B1_Process_Notes,0.0,0.0,0.0,11,0,11,4994.73,0.03,success,0.006020784378051758
20260422-214016,2026-04-22 22:11:30,B1_Process_Notes,0.0,0.0,0.0,11,0,11,4994.73,0.03,success,0.006474018096923828
20260423-212727,2026-04-23 22:01:59,B1_Process_Notes,0.0,0.0,0.0,12,1,11,5771.41,0.03,success,0.6454010009765625
20260427-221450,2026-04-27 22:48:22,B1_Process_Notes,0.0,0.0,0.0,12,0,12,5771.41,0.03,success,0.008249044418334961
20260427-230250,2026-04-27 23:30:51,B1_Process_Notes,0.0,0.0,0.0,12,0,12,5771.41,0.03,success,0.009007692337036133
,2026-04-27 23:48:15,B1_Process_Notes,0.0,0.0,0.0,12,0,12,5771.41,0.03,success,0.009446859359741211
20260428-214316,2026-04-28 22:17:18,B1_Process_Notes,0.0,0.0,0.0,12,0,12,5771.41,0.03,success,0.007652997970581055
