run_id,run_timestamp,momentum_signal_strength,forward_pe_implied_upside,weighted_dividend_yield,turnover,liquidity_score,tracking_error,information_ratio,benchmark_annual_return,twr_total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation_vs_benchmark,hhi,top3_concentration,top5_concentration,n_assets
20260328-185359,2026-03-29 03:46:06,0.6067015307664644,-0.5982669178955876,7.158206,0.58475,66224974.61497404,0.17533949031329202,0.2965475657590922,0.15828372325480547,4.713660989661047,0.20434709557543784,0.22047041880732193,0.3939172250193667,0.5581358722253721,0.41312396147456565,0.4946386911232663,0.6686390110601722,0.6981951985619609,0.18696309,0.6477999999999999,0.9421999999999999,7
20260329-101714,2026-03-29 11:24:25,0.5872190862667259,-0.7370482558296791,10.468492,0.050199999999999995,105298013.11414047,0.1793816459894907,0.2446172272432264,0.15828372325480547,4.195673563510652,0.19408481071063388,0.22290703207140072,0.3435728787869848,0.4917597759464017,0.4176400771757523,0.46471787866507513,0.6653094895198098,0.687124481158899,0.18564824,0.6348,0.9419000000000001,7
20260330-200710,2026-03-30 20:37:02,0.5211942988091629,-0.9931719620312104,352.787004,0.1849,56730116.241491266,0.1829535969327297,0.3983449180506724,0.1502495016254555,7.0945145247278685,0.2240966796179651,0.20488886972412534,0.5202658385567418,0.7220158599072249,0.294016655171523,0.7621904258696907,0.5806607941004375,0.6512817907211423,0.16347810999999998,0.5527,0.8562,7
20260331-210616,2026-03-31 21:30:56,0.5310608592173375,-0.9931523582330367,358.89236800000003,0.038150000000000024,55943407.486611575,0.18324934015185237,0.38579862471735016,0.1506799220185349,6.915576851991088,0.22153872087722815,0.20648797123416965,0.5038488210978743,0.6937015316270091,0.3048614991750769,0.726686450984098,0.5858919894216218,0.6519533534090813,0.17296468,0.5772,0.8817,6
20260402-134924,2026-04-02 14:09:44,0.47198696400337115,-0.8207191789982218,17.163604,0.27925,929653990.8907799,0.1478984824435236,0.3644536931541991,0.16160986095218408,4.86382542546926,0.20674241260831572,0.23359106057443046,0.382045496042773,0.5232301071926841,0.41947411516750066,0.49286095406807445,0.8084338890281448,0.7968251714757071,0.20282102,0.7042,0.9423,8
20260403-090929,2026-04-03 09:29:41,0.4707222216651167,-0.8475499772720476,24.268137,0.11515000000000002,57259155.640279286,0.14216647244823757,0.36555693268678296,0.16159835714761647,4.694496808485944,0.20337467714752577,0.23726675504840838,0.36193303663635973,0.49506442247546084,0.42390530401800197,0.4797644078048362,0.8405709240903474,0.8155032586452129,0.21201932,0.6974,0.9547000000000001,7
20260404-072616,2026-04-04 07:46:30,0.4897288187230596,-0.8763422986565379,27.377563000000006,0.05395,54445636.425461695,0.14371322955369567,0.3921897185158429,0.16159835714761647,4.9080424686391915,0.2074834245428283,0.24126424662726365,0.37296626334297434,0.5084753394001253,0.42661014813547604,0.48635370126483496,0.8544506349284345,0.8152339120154396,0.20768111,0.7074,0.9695,6
20260406-211427,2026-04-06 21:41:20,0.49806645147616346,-0.9914854030592447,473.31014100000004,0.06914999999999998,55108448.45046838,0.1898852855663913,0.6646257091092231,0.15329762861723395,12.555107236170995,0.2802646524178405,0.25815831576667847,0.630483863881983,0.9481259187550913,0.350474200574628,0.7996727061744521,0.7897872809835511,0.7029870406501616,0.21008442000000002,0.6991,0.9410000000000001,7
20260406-222822,2026-04-06 22:46:45,0.7899366577093977,-0.9919361884410409,558.359821,0.43765,64710315.24288211,0.28477608008220867,0.6114598778495144,0.15329762861723395,18.512501405381496,0.32292740318567636,0.34102262332788114,0.6023864375360377,1.124772909857551,0.3832238537852993,0.8426599753537161,0.8335941171057261,0.5616874919022792,0.18911612000000003,0.6275,0.8621999999999999,7
20260407-211712,2026-04-07 21:33:48,0.7658664849661689,-0.9922756322710236,573.784774,0.07340000000000002,66251899.83918758,0.3006986964810292,0.6178084278976458,0.15329547918564365,20.389570721586708,0.33389215297553276,0.3549339352512207,0.6096688185714656,1.136227316286612,0.4070075984642228,0.8203585245961518,0.8371522726969319,0.5418773556957422,0.21538036000000002,0.6942,0.9538000000000001,6
20260408-220322,2026-04-08 22:27:00,0.6891422581310376,-0.9926502678463325,504.604994,0.20585,58128676.62140695,0.24658353028809693,0.5043981881067197,0.15328695032140624,11.685338653141736,0.27399398862480484,0.2885134357625548,0.5424149076842254,0.9673790431514485,0.3559009826027086,0.7698601634114163,0.7128262709396601,0.5675217584167246,0.16062721,0.5475,0.8093,7
20260409-200414,2026-04-09 20:22:31,0.7908560054883454,-0.992191407753436,432.5293720000001,0.42539999999999994,533594225.12398493,0.21000977063570267,1.0363465912878298,0.1551547596603737,35.747658694788115,0.39756750908339034,0.28189100409364554,0.9935312053816041,1.4359364358000786,0.4474279762127651,0.8885620261133054,0.8351010629633533,0.6806122084371111,0.15185331,0.5587,0.8068,9
STAB_20260409_2059_9,2026-04-10 23:04:59,0.8488266959496296,-0.8464037905781303,28.635542,0.055999999999999994,109718306.77640568,0.14071132261643898,1.126075578605676,0.1650775102801898,17.02408504467776,0.3415795790905536,0.24124814860975544,0.9288343988621698,1.177053794960368,0.45219233752142823,0.7553855975597265,0.8625789378234267,0.8228754581705804,0.14559278,0.513,0.7606999999999999,8
