run_start_timestamp,portfolio_py_version,param_load_duration_s,data_load_duration_s,data_wrangling_duration_s,bf_phase_duration_s,ga_phase_duration_s,refinement_phase_duration_s,results_save_duration_s,overall_script_duration_s
2026-03-07 06:42:53,2.1.0,0.0007140636444091797,0.19307398796081543,0.29668712615966797,0.0,0.0,0.0,0.0,1088.295970916748
2026-03-07 07:28:24,2.1.0,0.0013508796691894531,0.1842789649963379,0.29959678649902344,0.0,0.0,0.0,0.0,1021.224771976471
2026-03-07 07:45:14,2.1.0,0.0013802051544189453,0.2847747802734375,0.457629919052124,0.0,0.0,0.0,0.0,1211.4968521595001
20260328-185359,2026-03-28 18:57:01,2.1.0,0.000453948974609375,0.18938994407653809,0.2985517978668213,0.0,0.0,0.0,0.0,31743.98742723465
20260329-101714,2026-03-29 10:19:16,2.1.0,0.0016667842864990234,0.18509292602539062,0.30246567726135254,0.0,0.0,0.0,0.0,3908.5861649513245
20260330-200710,2026-03-30 20:09:23,2.1.0,0.0024459362030029297,0.49950695037841797,0.5721108913421631,0.0,0.0,0.0,0.0,1657.6069519519806
20260331-210616,2026-03-31 21:08:40,2.1.0,0.0023958683013916016,0.5019760131835938,0.5716149806976318,0.0,0.0,0.0,0.0,1334.0396909713745
20260402-134924,2026-04-02 13:51:31,2.1.0,0.0011601448059082031,0.18897318840026855,0.30060315132141113,0.0,0.0,0.0,0.0,1091.8107652664185
20260403-090929,2026-04-03 09:11:28,2.1.0,0.0011548995971679688,0.18674778938293457,0.29871296882629395,0.0,0.0,0.0,0.0,1091.8643119335175
20260404-072616,2026-04-04 07:27:46,2.1.0,0.0006899833679199219,0.19815492630004883,0.30919694900512695,0.0,0.0,0.0,0.0,1122.697916984558
20260406-211427,2026-04-06 21:17:21,2.1.0,0.0020487308502197266,0.5328733921051025,0.5740811824798584,0.0,0.0,0.0,0.0,1436.9171097278595
20260406-222822,2026-04-06 22:30:26,2.1.0,0.0023097991943359375,0.7558951377868652,1.068268060684204,0.0,0.0,0.0,0.0,976.5672888755798
20260407-211712,2026-04-07 21:20:00,2.1.0,0.001661062240600586,0.31952905654907227,0.35768985748291016,0.0,0.0,0.0,0.0,826.8419780731201
20260408-220322,2026-04-08 22:05:48,2.1.0,0.0020189285278320312,0.5033779144287109,0.5729360580444336,0.0,0.0,0.0,0.0,1270.7099678516388
20260409-200414,2026-04-09 20:06:23,2.1.0,0.001512765884399414,0.32367610931396484,0.36235809326171875,0.0,0.0,0.0,0.0,966.7370817661285
STAB_20260409_2059_1,2026-04-09 20:59:19,2.1.0,0.001338958740234375,0.5360932350158691,0.586143970489502,0.0,0.0,0.0,0.0,1204.3633379936218
STAB_20260409_2059_2,2026-04-09 21:19:24,2.1.0,0.0010619163513183594,0.3234131336212158,0.3616657257080078,0.0,0.0,0.0,0.0,1226.53311419487
STAB_20260409_2059_3,2026-04-09 21:39:52,2.1.0,0.0011882781982421875,0.5591270923614502,0.6853868961334229,0.0,0.0,0.0,0.0,1512.8185021877289
STAB_20260409_2059_4,2026-04-09 22:05:06,2.1.0,0.0013191699981689453,0.5116112232208252,0.586683988571167,0.0,0.0,0.0,0.0,1486.8583471775055
STAB_20260409_2059_5,2026-04-09 22:29:54,2.1.0,0.0015151500701904297,0.528627872467041,0.5946941375732422,0.0,0.0,0.0,0.0,1506.4534680843353
STAB_20260409_2059_6,2026-04-09 22:55:01,2.1.0,0.0008749961853027344,0.3211948871612549,0.3613290786743164,0.0,0.0,0.0,0.0,837.0350301265717
STAB_20260409_2059_7,2026-04-09 23:08:59,2.1.0,0.0009300708770751953,0.3764011859893799,0.36266422271728516,0.0,0.0,0.0,0.0,2104.227504968643
STAB_20260409_2059_8,2026-04-09 23:44:04,2.1.0,0.0010101795196533203,0.32053494453430176,0.3605380058288574,0.0,0.0,0.0,0.0,836.3272724151611
STAB_20260409_2059_9,2026-04-09 23:58:01,2.1.0,0.0008871555328369141,0.3200228214263916,0.3616340160369873,0.0,0.0,0.0,0.0,831.7266709804535
STAB_20260409_2059_10,2026-04-10 00:11:54,2.1.0,0.00086212158203125,0.3236091136932373,0.3621511459350586,0.0,0.0,0.0,0.0,1809.6567888259888
