run_id,date,portfolio_real_value,benchmark1_name,benchmark1_real_value,benchmark2_name,benchmark2_real_value,portfolio_daily_return,benchmark1_daily_return,benchmark2_daily_return,portfolio_accum_return,benchmark1_accum_return,benchmark2_accum_return,portfolio_composition
20260409-200414,2015-08-18,2454.382263422818,^BVSP,47451.0,,,0.0,0.0,0.0,1000.0,1000.0,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.3264756202697754}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.277907848358154}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.0875349044799805}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.2226758003234863}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.196832656860352}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.473813533782959}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.24166202545166}}"
20260409-200414,2015-08-19,2445.8710504907,^BVSP,46588.0,,,-0.0034677617496504092,-0.018187182567279914,0.0,996.5322382503497,981.8128174327201,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.3264756202697754}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.420505046844482}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.0105011463165283}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.1330580711364746}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 8.890623092651367}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.447761058807373}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.459447860717772}}"
20260409-200414,2015-08-20,2438.675245747367,^BVSP,46649.0,,,-0.0029420213064335495,0.0013093500472225461,0.0,993.6004191728692,983.0983540915893,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.3294708132743835}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.277907848358154}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 2.985849618911743}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.1151342391967773}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.06484603881836}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.447761058807373}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.468914985656738}}"
20260409-200414,2015-08-21,2407.7054717425617,^BVSP,45720.0,,,-0.01269942525508952,-0.01991468198675217,0.0,980.9822649161578,963.5202630081559,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.3354611992835998}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.135311126708984}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 2.834862232208252}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 2.975329875946045}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 8.816710472106934}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.476297378540039}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.440509796142578}}"
20260409-200414,2015-08-24,2268.2620908648273,^BVSP,44336.0,,,-0.05791546454260178,-0.030271216097987774,0.0,924.168221335485,934.353332911846,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2795509994029999}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.850117921829224}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 2.680793285369873}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 2.828355550765991}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 8.130379676818848}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.317763805389404}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.298474311828612}}"
20260409-200414,2015-08-25,2255.567598253856,^BVSP,44545.0,,,-0.005596572222450276,0.004714002165283393,0.0,918.9960471390875,938.7578765463321,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2695670425891876}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.850117921829224}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 2.7362585067749023}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 2.814016819000244}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 8.103981018066406}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.389535903930664}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.44997787475586}}"
20260409-200414,2015-08-26,2275.2309150294845,^BVSP,46038.0,,,0.008717680104489313,0.03351666853743396,0.0,927.0075606953363,970.2219131314409,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2655734419822693}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.850117921829224}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 2.813293218612671}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 2.91438889503479}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 8.394354820251465}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.447761058807373}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.459447860717772}}"
20260409-200414,2015-08-27,2384.923348588989,^BVSP,47715.0,,,0.0482115607848458,0.036426430340153804,0.0,971.7000420558112,1005.5636340646141,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2795509994029999}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.135311126708984}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.130674123764038}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.1975836753845215}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.33937644958496}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.447761058807373}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.459447860717772}}"
20260409-200414,2015-08-28,2407.7063654611597,^BVSP,47154.0,,,0.009552934640708938,-0.011757309022319973,0.0,980.9826290479443,993.7409116773093,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2925301492214203}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 4.135311126708984}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.1676504611968994}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.233431339263916}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.13875961303711}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.476297378540039}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.421570777893066}}"
20260409-200414,2015-08-31,2390.1636357807797,^BVSP,46626.0,,,-0.007286075217490262,-0.011197353352843886,0.0,973.8351158256496,982.6136435480813,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2775541841983795}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.9927148818969727}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.2724180221557617}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.2943708896636963}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.460805892944336}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.505407333374023}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.194317817687988}}"
20260409-200414,2015-09-01,2319.9058784822682,^BVSP,45477.0,,,-0.029394538619344837,-0.024642903101273927,0.0,945.2096819046384,958.3991907441363,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 0.2655734419822693}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.850117921829224}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 3.065965175628662}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 3.0792863368988037}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 9.027889251708984}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 5.533656120300293}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 9.128036499023438}}"
