run_id,run_timestamp,benchmark_ticker,perf_ytd_portfolio,perf_ytd_benchmark,perf_3m_portfolio,perf_3m_benchmark,perf_6m_portfolio,perf_6m_benchmark,perf_12m_portfolio,perf_12m_benchmark,perf_24m_portfolio,perf_24m_benchmark
20260328-185359,2026-03-29 03:46:06,^BVSP,0.11815994158944343,0.1268083785880545,0.09976672587565893,0.12840512874696364,0.42622308721655067,0.24826912896106634,0.8390437499064245,0.37003471174162605,1.0473035681511207,0.4311264907813952
20260329-101714,2026-03-29 11:24:25,^BVSP,0.10328276291341476,0.1268083785880545,0.08765123334848313,0.12840512874696364,0.4011177538792694,0.24826912896106634,0.7824841004108483,0.37003471174162605,0.9019490609721437,0.4311264907813952
20260330-200710,2026-03-30 20:37:02,^BVSP,0.09391493252860994,0.1268083785880545,0.08084538774430561,0.12840512874696342,0.3730001050723213,0.2482691289610659,0.8060818970516423,0.3700347117416263,0.9806341452090805,0.4311264907813952
20260331-210616,2026-03-31 21:30:56,^BVSP,0.11066967727567434,0.13274786656322912,0.11596663671818686,0.1372297339398112,0.3265460134874121,0.24721704011972356,0.8144800109569015,0.3837091173750202,1.0045790655609461,0.4247107863800321
20260402-134924,2026-04-02 14:09:44,^BVSP,0.09587420981432504,0.16650426687354747,0.09587420981432504,0.16650426687354747,0.3566564668046559,0.2852629635454782,0.6160723085734954,0.44290649470290044,0.41169291519862306,0.46716781415390707
20260403-090929,2026-04-03 09:29:41,^BVSP,0.0927719092960595,0.16711869666408274,0.0927719092960595,0.16711869666408274,0.34741042598438865,0.29230261756358433,0.583208884967938,0.4339024148474604,0.3923183139193982,0.48084101110323507
20260404-072616,2026-04-04 07:46:30,^BVSP,0.09866956699930496,0.16711869666408274,0.09866956699930496,0.16711869666408274,0.3610736349222339,0.29230261756358433,0.6225582338175326,0.4339024148474604,0.42037956503535767,0.48084101110323507
20260406-211427,2026-04-06 21:41:20,^BVSP,0.12194423875848126,0.16711869666408274,0.12194423875848126,0.16711869666408274,0.40371460336790954,0.2923026175635839,0.6437125741989274,0.4339024148474604,0.4994925074054535,0.48084101110323463
20260406-222822,2026-04-06 22:46:45,^BVSP,0.3336487520664446,0.16711869666408274,0.3336487520664446,0.16711869666408274,0.6179897586977374,0.2923026175635839,0.8581106360440045,0.4339024148474604,1.0819388958617493,0.48084101110323463
20260407-211712,2026-04-07 21:33:48,^BVSP,0.3776954553228902,0.16780139643134429,0.4049959690113887,0.16242663866065543,0.613405052259566,0.30485918960340275,0.9698513925633585,0.4786100458917457,1.1481969250020883,0.4839859615915414
20260408-220322,2026-04-08 22:27:00,^BVSP,0.2652831466639385,0.16840341349883836,0.2916916417482458,0.1502773975950742,0.47970817447777847,0.3109227898167235,0.8794268608357687,0.47937228892940187,1.0147171513257969,0.4847509759848534
