date,timestamp,decision,reason,excess_return_pct,optimal_score,holdings_score,ideal_score,holdings_return_pct,ideal_return_pct,optimal_return_pct,optimal_net_return_pct,blend_ratio,transition_cost_pct,transaction_cost_pct_used,num_transactions,holdings_stocks,ideal_stocks,optimal_stocks
2026-03-07,2026-03-07 07:01:54,REBALANCE,Excess return (858.76%) exceeds threshold (0.5%),858.7649,0.7901,0.6213,0.7901,208.82,1067.62,1067.62,1067.58,1.0,0.0397,0.0284,11,"PLPL3.SA,VULC3.SA,MDNE3.SA,TEND3.SA,VALE3.SA,AURA33.SA,CMIG4.SA,PETR4.SA,SAPR11.SA","AURA33.SA,MDNE3.SA,PLPL3.SA,PETR3.SA,PRNR3.SA","MDNE3.SA,PRNR3.SA,PETR3.SA,AURA33.SA,PLPL3.SA"
2026-03-07,2026-03-07 08:06:16,REBALANCE,Excess return (766.03%) exceeds threshold (0.5%),766.0256,0.79,0.6213,0.79,208.82,974.88,974.88,974.84,1.0,0.0381,0.0284,10,"PLPL3.SA,VULC3.SA,MDNE3.SA,TEND3.SA,VALE3.SA,AURA33.SA,CMIG4.SA,PETR4.SA,SAPR11.SA","SAPR11.SA,PETR3.SA,AURA33.SA,PLPL3.SA,MDNE3.SA","PLPL3.SA,AURA33.SA,PETR3.SA,MDNE3.SA,SAPR11.SA"
