Stock,AURA33.SA,PRIO3.SA,TEND3.SA,ORVR3.SA,JHSF3.SA,PETR3.SA,CSMG3.SA,BPAC11.SA,PETR4.SA,CPLE3.SA,CURY3.SA,ENEV3.SA,GGBR4.SA,VALE3.SA,B3SA3.SA,OPCT3.SA,ISAE4.SA,MDNE3.SA,CMIG3.SA,UGPA3.SA
AURA33.SA,1.0,0.059939540874529455,0.14091518879185636,0.153891626268071,0.13227535805294352,0.037620617372253896,0.07871461034002587,0.1576678715851219,0.03193566437176397,0.10883205190888852,0.14585266279994122,0.1262410795641834,0.15784378571508306,0.22128237767488057,0.17881243797365082,0.0937114481841732,0.12734802565008135,0.1684485857945742,0.09350619264477565,0.056253084906373735
PRIO3.SA,0.059939540874529455,1.0,0.13805044548812917,0.1518558372916937,0.20456497459608813,0.22181628791192326,0.11450233908596869,0.3178697338680609,0.2508366986672484,0.1509644020102097,0.14372410694402724,0.14348802749807316,0.25737233910898105,0.22484711257181147,0.24221242816318997,0.15693667402082973,0.016950211418185666,0.33438788969245786,0.15422584424480684,0.18714071638349786
TEND3.SA,0.14091518879185636,0.13805044548812917,1.0,0.32533310027528184,0.3311380189523371,0.13602176276727632,0.21535706140704794,0.40061883413564936,0.15965668250884865,0.21746637578815778,0.513376867609131,0.21975468057506167,0.19416943816937574,0.11698614151257158,0.39647271562978764,0.29956704793430516,0.10204476338337157,0.47885693100694837,0.1992489397294949,0.2458510180181524
ORVR3.SA,0.153891626268071,0.1518558372916937,0.32533310027528184,1.0,0.4199272784020092,0.08309855532403275,0.24572237324596727,0.4536354020523825,0.08967990653122832,0.3309630294330026,0.4060082969959849,0.41680328112054194,0.1764043373888824,0.0556061266546989,0.45930007195751266,0.3242304750965103,0.2583104975804855,0.376700886976762,0.25209550643721146,0.22934452766788613
JHSF3.SA,0.13227535805294352,0.20456497459608813,0.3311380189523371,0.4199272784020092,1.0,0.3823798197412662,0.3676783720273562,0.47826644128906143,0.39791256335656355,0.47496197030976994,0.4753772036270045,0.21230446297574376,0.38220829239207077,0.3189830875185726,0.48247483016649695,0.29741399294428944,0.31086389896779104,0.55826537212332,0.3991063493920414,0.29685452039125515
PETR3.SA,0.037620617372253896,0.22181628791192326,0.13602176276727632,0.08309855532403275,0.3823798197412662,1.0,0.6680820828936018,0.3766625340791397,0.9153899680175569,0.6376103975842922,0.15053617567375369,0.1321728137642361,0.5452574849244978,0.6298448975541173,0.43736958781232627,0.11730756068312675,0.8246589367416872,0.3200895867406364,0.6681930333240746,0.3453878467243236
CSMG3.SA,0.07871461034002587,0.11450233908596869,0.21535706140704794,0.24572237324596727,0.3676783720273562,0.6680820828936018,1.0,0.3862737321268816,0.5755605714893614,0.5929558867555096,0.3003166274813107,0.1271424548914182,0.4047626200472121,0.44065152899918975,0.43191863443491724,0.20241021873957687,0.70838877253031,0.4082094770428449,0.6812409930260548,0.3315867318046274
BPAC11.SA,0.1576678715851219,0.3178697338680609,0.40061883413564936,0.4536354020523825,0.47826644128906143,0.3766625340791397,0.3862737321268816,1.0,0.37935917270752917,0.41918655770131297,0.5180393125148227,0.4200398998251097,0.38453848361916837,0.2789517333830866,0.5882478715977464,0.30726919309632544,0.35081269144215055,0.5062642159686315,0.42705459265461904,0.3843276851919596
PETR4.SA,0.03193566437176397,0.2508366986672484,0.15965668250884865,0.08967990653122832,0.39791256335656355,0.9153899680175569,0.5755605714893614,0.37935917270752917,1.0,0.6261856579810771,0.17127747791053438,0.14323018480689254,0.6008379322340963,0.6736960201621367,0.45639109229895175,0.12281244509095793,0.7047389315275285,0.3158793843204244,0.5945453958713937,0.32518509223451336
CPLE3.SA,0.10883205190888852,0.1509644020102097,0.21746637578815778,0.3309630294330026,0.47496197030976994,0.6376103975842922,0.5929558867555096,0.41918655770131297,0.6261856579810771,1.0,0.3587691482760784,0.14821599027030882,0.478961838678048,0.4905618077007433,0.508662020175641,0.226834024951038,0.66128568801972,0.43933807362888017,0.6430546291939508,0.31627727563953706
