run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,TargetPriceSource,forwardPE,forwardEPS,SectorMedianPE
20260307-064253,2026-03-07 06:42:53,3.0.0,AURA33.SA,Aura Minerals Inc.,Basic Materials,Gold,0.9099717722760335,0.7482587365626945,10.0,1.4350958043154791,0.9027683312588665,1.0,0.8162541917932497,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.4596989065688089,0.41389280396709427,138.6300048828125,2320.7182649899905,SectorPE_Fallback,0.43117955,321.5134,7.21810735
20260307-064253,2026-03-07 06:42:53,3.0.0,AMBP3.SA,Ambipar Participações e Empreendimentos S.A.,Industrials,Waste Management,0.5212225014190983,-0.17519838397633292,10.0,-0.9826498427828818,0.4976640652905912,1.0,0.0,0.41684753893367626,0.31377246058698693,0.26938000047933686,-0.007532071483009675,0.8991639529294418,0.2199999988079071,11.654313686849889,SectorPE_Fallback,0.176,1.25,9.323451
20260307-064253,2026-03-07 06:42:53,3.0.0,AXIA6.SA,Axia Energia S.A.,Utilities,Utilities - Regulated Electric,0.4852863807617396,0.3377591734175801,0.0814943412633673,0.7045528608229432,0.7226894510276634,0.09749721030603888,0.5696158654554826,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2969632123918889,0.43511242316487614,64.29000091552734,69.52927218995953,SectorPE_Fallback,10.487765,6.13,11.3424585
20260307-064253,2026-03-07 06:42:53,3.0.0,PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil and Gas Integrated,0.4685200493280161,0.2795930470963438,1.0150439324324885,0.34407918011160765,0.6971730026907569,0.1824425780193347,0.4479164826999405,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2712684736255571,0.4337320791234473,42.11000061035156,84.8535012246173,SectorPE_Fallback,3.7491095,11.232,7.55462035
20260307-064253,2026-03-07 06:42:53,3.0.0,TRIS3.SA,Trisul S.A.,Real Estate,Real Estate Services,0.45814144940391754,0.2930279122636075,0.40421743862081216,0.3947051256208456,0.7030666398406771,0.1268623693012568,0.46500828898031016,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2888192175605345,0.4737405951814343,6.78000020980835,9.520594528465649,SectorPE_Fallback,4.808511,1.41,6.752195
20260307-064253,2026-03-07 06:42:53,3.0.0,TEND3.SA,Construtora Tenda S.A.,Real Estate,Real Estate - Development,0.454314669299845,0.3244923942067457,0.44194420230029596,0.2775180020714145,0.7168695502066798,0.13029519584170118,0.425444788602917,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.32466199332512174,0.5382622102810778,30.059999465942383,43.34484195106561,SectorPE_Fallback,4.682702,6.41937,6.752195
20260307-064253,2026-03-07 06:42:53,3.0.0,POSI3.SA,Positivo Tecnologia S.A.,Technology,Computer Hardware,0.4542836570979833,0.22295740104249648,2.1247293321435947,-0.04694842144522393,0.6723279489118758,0.28341486188749726,0.31590180230513415,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2848483471218926,0.60481664430682,4.059999942779541,12.686400909704547,SectorPE_Fallback,2.5842097,1.57108,8.07495585
20260307-064253,2026-03-07 06:42:53,3.0.0,PETR3.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil and Gas Integrated,0.4442213477007708,0.23785137608165952,0.405971398257178,0.3520377422941088,0.6788616716927106,0.12702196526452939,0.45060336986274446,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2524144788128602,0.4305818217242482,45.779998779296875,64.36536889593992,SectorPE_Fallback,5.373239,8.52,7.55462035
20260307-064253,2026-03-07 06:42:53,3.0.0,VALE3.SA,Vale S.A.,Basic Materials,Other Industrial Metals and Mining,0.4413402834082202,0.24000978070836654,0.06289189322115374,0.4237227203344096,0.6798085255341259,0.09580453987453628,0.47480490813631215,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.24289686931465637,0.387054515197172,78.86000061035156,83.81965534815791,SectorPE_Fallback,6.791008,11.612414,7.21810735
20260307-064253,2026-03-07 06:42:53,3.0.0,MOVI3.SA,Movida Participações S.A.,Industrials,Rental and Leasing Services,0.4345829697727299,0.05524890495319348,0.04306487151389238,0.7271447963955673,0.5987572051341422,0.09400044326787009,0.5772431202636998,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.17959782948162492,0.5357179387844885,12.279999732971191,12.808836343662229,SectorPE_Fallback,8.938515,1.37383,9.323451
20260307-064253,2026-03-07 06:42:53,3.0.0,RENT3.SA,Localiza Rent a Car S.A.,Industrials,Rental and Leasing Services,0.42984288265691806,0.2602043226087681,0.010781655379265453,0.2730556064181857,0.6886675130184094,0.09106293497536537,0.42393824089730564,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2588365702843217,0.4182734905905605,45.83000183105469,46.32412511682822,SectorPE_Fallback,9.224001,4.96856,9.323451
20260307-064253,2026-03-07 06:42:53,3.0.0,CMIG3.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,0.42640723156733623,0.18783161348650435,1.1393782944872304,0.026494523272665438,0.6569188886881354,0.19375598675952957,0.34069684704259995,0.41684753893367626,0.31377246058698693,0.26938000047933686,0.2232707260726598,0.3900872952780352,15.109999656677246,32.3260052952048,SectorPE_Fallback,5.3017545,2.85,11.3424585
