run_id,run_timestamp,scoring_version,Sector,SectorMedianPE
20250806-214054,2025-08-06 21:40:54,3.0.0,Healthcare,9.118645
20250806-214054,2025-08-06 21:40:54,3.0.0,Industrials,9.00691175
20250806-214054,2025-08-06 21:40:54,3.0.0,Real Estate,8.153847
20250806-214054,2025-08-06 21:40:54,3.0.0,Technology,11.094498
20250806-214054,2025-08-06 21:40:54,3.0.0,Utilities,9.461243
20250807-104233,2025-08-07 10:42:33,3.0.0,Basic Materials,7.153294
20250807-104233,2025-08-07 10:42:33,3.0.0,Communication Services,10.50688675
20250807-104233,2025-08-07 10:42:33,3.0.0,Consumer Cyclical,11.522484
20250807-104233,2025-08-07 10:42:33,3.0.0,Consumer Defensive,8.3102417
20250807-104233,2025-08-07 10:42:33,3.0.0,Energy,4.112246799999999
20250807-104233,2025-08-07 10:42:33,3.0.0,Financial Services,7.6811327
20250807-104233,2025-08-07 10:42:33,3.0.0,Healthcare,9.283019
20250807-104233,2025-08-07 10:42:33,3.0.0,Industrials,9.00547975
20250807-104233,2025-08-07 10:42:33,3.0.0,Real Estate,8.153847
20250807-104233,2025-08-07 10:42:33,3.0.0,Technology,11.07352925
20250807-104233,2025-08-07 10:42:33,3.0.0,Utilities,9.411195
20250808-094957,2025-08-08 09:49:57,3.0.0,Basic Materials,7.153294
20250808-094957,2025-08-08 09:49:57,3.0.0,Communication Services,10.50688675
20250808-094957,2025-08-08 09:49:57,3.0.0,Consumer Cyclical,11.522484
20250808-094957,2025-08-08 09:49:57,3.0.0,Consumer Defensive,8.3102417
20250808-094957,2025-08-08 09:49:57,3.0.0,Energy,4.112246799999999
20250808-094957,2025-08-08 09:49:57,3.0.0,Financial Services,7.6811327
20250808-094957,2025-08-08 09:49:57,3.0.0,Healthcare,9.283019
20250808-094957,2025-08-08 09:49:57,3.0.0,Industrials,9.00547975
20250808-094957,2025-08-08 09:49:57,3.0.0,Real Estate,8.153847
20250808-094957,2025-08-08 09:49:57,3.0.0,Technology,11.07352925
20250808-094957,2025-08-08 09:49:57,3.0.0,Utilities,9.411195
20250809-090641,2025-08-09 09:06:41,3.0.0,Basic Materials,6.6326754999999995
20250809-090641,2025-08-09 09:06:41,3.0.0,Communication Services,10.66635275
20250809-090641,2025-08-09 09:06:41,3.0.0,Consumer Cyclical,11.184777
20250809-090641,2025-08-09 09:06:41,3.0.0,Consumer Defensive,8.27195335
20250809-090641,2025-08-09 09:06:41,3.0.0,Energy,3.82234075
20250809-090641,2025-08-09 09:06:41,3.0.0,Financial Services,7.806801849999999
20250809-090641,2025-08-09 09:06:41,3.0.0,Healthcare,9.504098
20250809-090641,2025-08-09 09:06:41,3.0.0,Industrials,9.01778125
20250809-090641,2025-08-09 09:06:41,3.0.0,Real Estate,7.8467155
20250809-090641,2025-08-09 09:06:41,3.0.0,Technology,10.596404849999999
20250809-090641,2025-08-09 09:06:41,3.0.0,Utilities,9.4433005
20250811-082440,2025-08-11 08:24:40,3.0.0,Basic Materials,6.6326754999999995
20250811-082440,2025-08-11 08:24:40,3.0.0,Communication Services,10.66635275
20250811-082440,2025-08-11 08:24:40,3.0.0,Consumer Cyclical,11.184777
20250811-082440,2025-08-11 08:24:40,3.0.0,Consumer Defensive,8.27195335
20250811-082440,2025-08-11 08:24:40,3.0.0,Energy,3.82234075
20250811-082440,2025-08-11 08:24:40,3.0.0,Financial Services,7.806801849999999
20250811-082440,2025-08-11 08:24:40,3.0.0,Healthcare,9.504098
20250811-082440,2025-08-11 08:24:40,3.0.0,Industrials,9.01778125
20250811-082440,2025-08-11 08:24:40,3.0.0,Real Estate,7.8467155
20250811-082440,2025-08-11 08:24:40,3.0.0,Technology,10.596404849999999
20250811-082440,2025-08-11 08:24:40,3.0.0,Utilities,9.4433005
20250811-083508,2025-08-11 08:35:08,3.0.0,Basic Materials,6.6326754999999995
20250811-083508,2025-08-11 08:35:08,3.0.0,Communication Services,10.66635275
20250811-083508,2025-08-11 08:35:08,3.0.0,Consumer Cyclical,11.184777
