run_id,timestamp,engine_version,min_stocks,max_stocks,stocks,weights,sharpe_ratio,final_value,roi_percent,expected_return_annual_pct,expected_volatility_annual_pct
20250807-104233,2025-08-08 01:03:43,2.0.0,5,7,"JBSS3.SA,VULC3.SA,CURY3.SA,EMBR3.SA,MDNE3.SA,AURA33.SA","0.1192,0.0223,0.3471,0.2395,0.0397,0.2322",1.1725,3906.41,290.64,44.41,25.08
20250809-090643,2025-08-09 13:38:06,2.0.0,5,7,"JBSS3.SA,GOLL4.SA,VULC3.SA,AURA33.SA,STBP3.SA,PRIO3.SA,CURY3.SA","0.1758,0.0079,0.1152,0.3293,0.0414,0.0155,0.3149",1.0476,3750.83,275.08,43.29,27.0
20250811-083632,2025-08-11 11:27:58,2.0.0,5,7,"CURY3.SA,AURA33.SA,VULC3.SA,MDNE3.SA,PLPL3.SA","0.4112,0.3147,0.0992,0.0507,0.1243",1.0651,4145.03,314.5,45.61,28.74
20250812-050936,2025-08-12 06:55:48,2.0.0,5,5,"RANI3.SA,VULC3.SA,LAVV3.SA,ELET6.SA,CSMG3.SA","0.0179,0.7405,0.0181,0.0001,0.2234",0.6671,4143.24,314.32,35.42,30.61
