run_start_timestamp,scoring_py_version,stocks_loaded_from_input,stocks_successfully_scored,param_load_duration_s,data_load_duration_s,scoring_and_analysis_duration_s,results_save_duration_s,overall_script_duration_s
2025-07-30 12:37:13,3.0.0,182,182,0.0011429786682128906,0.3726961612701416,0.13602304458618164,0.004648923873901367,0.5147020816802979
2025-07-30 15:56:26,3.0.0,182,182,0.0009219646453857422,0.3502469062805176,0.1355750560760498,0.006613969802856445,0.49364185333251953
2025-07-31 12:59:15,3.0.0,182,182,0.0007989406585693359,0.23623394966125488,0.09552884101867676,0.004241228103637695,0.3370370864868164
2025-07-31 15:10:39,3.0.0,182,182,0.0012519359588623047,0.4246070384979248,0.1699531078338623,0.010490179061889648,0.606673002243042
2025-07-31 15:35:15,3.0.0,182,182,0.0012469291687011719,0.3535420894622803,0.13047194480895996,0.009212970733642578,0.4950439929962158
2025-08-01 10:41:46,3.0.0,182,182,0.005978107452392578,0.5222041606903076,0.2521238327026367,0.014658927917480469,0.7954859733581543
2025-08-01 11:08:33,3.0.0,182,182,0.0005228519439697266,0.22899103164672852,0.09147882461547852,0.0072252750396728516,0.32852816581726074
2025-08-01 11:27:57,3.0.0,182,182,0.0010061264038085938,0.3620741367340088,0.13434290885925293,0.013756990432739258,0.511613130569458
2025-08-04 23:16:08,3.0.0,182,182,0.0010361671447753906,0.33768391609191895,0.13184833526611328,0.011186838150024414,0.4820699691772461
2025-08-05 06:36:07,3.0.0,182,182,0.0007150173187255859,0.20809078216552734,0.08492517471313477,0.007145881652832031,0.3011131286621094
2025-08-05 17:56:51,3.0.0,182,182,0.0006148815155029297,0.3308870792388916,0.12453675270080566,0.010549068450927734,0.46698498725891113
2025-08-06 18:06:48,3.0.0,182,182,0.001405954360961914,0.3388240337371826,0.12654781341552734,0.011276960372924805,0.47841405868530273
2025-08-06 20:50:49,3.0.0,182,182,0.0016050338745117188,0.20827889442443848,0.07857608795166016,0.007736921310424805,0.29668116569519043
2025-08-06 21:40:54,3.0.0,182,182,0.0012416839599609375,0.2102360725402832,0.08267593383789062,0.0066869258880615234,0.3012096881866455
2025-08-07 10:42:33,3.0.0,182,182,0.0011479854583740234,0.21105623245239258,0.08779501914978027,0.006875038146972656,0.3071119785308838
2025-08-08 09:49:57,3.0.0,182,182,0.005982160568237305,0.37716197967529297,0.12926697731018066,0.008667945861816406,0.5213878154754639
2025-08-09 09:06:41,3.0.0,182,182,0.0013821125030517578,0.6425750255584717,0.20204591751098633,0.01675581932067871,0.8632791042327881
2025-08-11 08:24:40,3.0.0,181,181,0.0010900497436523438,0.2558610439300537,0.0919809341430664,0.007581949234008789,0.35683512687683105
2025-08-11 08:35:08,3.0.0,180,180,0.0007879734039306641,0.23932194709777832,0.09294605255126953,0.008201122283935547,0.34157323837280273
2025-08-11 12:44:17,3.0.0,180,180,0.0012710094451904297,0.24544501304626465,0.09363508224487305,0.0071451663970947266,0.3477928638458252
2025-08-11 13:41:06,3.0.0,0,0,0.00113677978515625,0.0,0.0,0.0,0.35024094581604004
2025-08-11 13:41:27,3.0.0,181,181,0.0007238388061523438,0.3565850257873535,0.13457012176513672,0.009261131286621094,0.5015568733215332
2025-08-11 13:43:48,3.0.0,181,181,0.0007090568542480469,0.36107397079467773,0.13662314414978027,0.009689092636108398,0.5082731246948242
2025-08-12 05:03:54,3.0.0,181,181,0.0007429122924804688,0.35436391830444336,0.14069700241088867,0.009554862976074219,0.5057101249694824
2025-08-12 05:06:03,3.0.0,181,181,0.0004210472106933594,0.34384584426879883,0.12481188774108887,0.008884906768798828,0.47816014289855957
