run_id,Date,value
20250807-104233,2022-03-25,907.5976899990632
20250807-104233,2022-03-28,894.7936149731908
20250807-104233,2022-03-29,910.4128220913392
20250807-104233,2022-03-30,909.702986224616
20250807-104233,2022-03-31,895.6934612584059
20250807-104233,2022-04-01,906.8876455065317
20250807-104233,2022-04-04,922.0108996038031
20250807-104233,2022-04-05,905.9018863629865
20250807-104233,2022-04-06,907.610928598752
20250807-104233,2022-04-07,900.4961671522431
20250807-104233,2022-04-08,896.2335149509897
20250807-104233,2022-04-11,882.4253863942329
20250807-104233,2022-04-12,869.524410714011
20250807-104233,2022-04-13,881.9623241775037
20250807-104233,2022-04-14,875.8123228934983
20250807-104233,2022-04-18,872.1275057052774
20250807-104233,2022-04-19,882.3329515407493
20250807-104233,2022-04-20,872.3026596935301
20250807-104233,2022-04-22,862.3292836552315
20250807-104233,2022-04-25,865.5840232815576
20250807-104233,2022-04-26,842.7817098238837
20250807-104233,2022-04-27,847.6324026846446
20250807-104233,2022-04-28,864.1005389300811
20250807-104233,2022-04-29,848.9985771469267
20250807-104233,2022-05-02,830.9461606761183
20250807-104233,2022-05-03,833.4798880373629
20250807-104233,2022-05-04,853.4495596079654
20250807-104233,2022-05-05,822.7269104240842
20250807-104233,2022-05-06,815.0885858120503
20250807-104233,2022-05-09,787.0092231909849
20250807-104233,2022-05-10,799.8208464747075
20250807-104233,2022-05-11,787.7404392520557
20250807-104233,2022-05-12,811.2431987955301
20250807-104233,2022-05-13,816.283943046501
20250807-104233,2022-05-16,804.1582772898871
20250807-104233,2022-05-17,808.0503502164768
20250807-104233,2022-05-18,786.5978796753514
20250807-104233,2022-05-19,796.2398837528245
20250807-104233,2022-05-20,793.3263767657639
20250807-104233,2022-05-23,798.4043127776342
20250807-104233,2022-05-24,798.0005476368722
20250807-104233,2022-05-25,794.4016424129067
20250807-104233,2022-05-26,810.3352942196251
20250807-104233,2022-05-27,829.6982248423703
20250807-104233,2022-05-30,825.6462555616679
20250807-104233,2022-05-31,826.6609998403605
20250807-104233,2022-06-01,834.0076213893202
20250807-104233,2022-06-02,841.3067237559067
20250807-104233,2022-06-03,833.4801081325896
20250807-104233,2022-06-06,818.7851096618524
20250807-104233,2022-06-07,822.7643707926331
20250807-104233,2022-06-08,806.9035901451775
20250807-104233,2022-06-09,808.3517348656851
20250807-104233,2022-06-10,792.0508706785907
20250807-104233,2022-06-13,761.7845807481071
20250807-104233,2022-06-14,763.4210156226987
20250807-104233,2022-06-15,774.6883457950767
20250807-104233,2022-06-17,763.8402934837071
20250807-104233,2022-06-20,753.6916859698373
20250807-104233,2022-06-21,759.0192943897821
20250807-104233,2022-06-22,752.2340271521127
20250807-104233,2022-06-23,763.0514476861953
20250807-104233,2022-06-24,764.9833583978784
20250807-104233,2022-06-27,761.1647234050727
20250807-104233,2022-06-28,751.447704872344
20250807-104233,2022-06-29,743.0403022240274
20250807-104233,2022-06-30,744.6961999733203
20250807-104233,2022-07-01,751.9411245503571
20250807-104233,2022-07-04,742.4494759079138
20250807-104233,2022-07-05,738.2412225734121
20250807-104233,2022-07-06,740.3716991264766
20250807-104233,2022-07-07,764.375683184672
20250807-104233,2022-07-08,777.1719764590221
20250807-104233,2022-07-11,758.6452394058465
20250807-104233,2022-07-12,776.9921522411997
20250807-104233,2022-07-13,763.4452662051463
20250807-104233,2022-07-14,760.7141192443407
20250807-104233,2022-07-15,780.0328003874412
20250807-104233,2022-07-18,763.1298275404232
20250807-104233,2022-07-19,773.0956385630401
20250807-104233,2022-07-20,775.9267661689701
20250807-104233,2022-07-21,791.0363052449394
20250807-104233,2022-07-22,775.7701927450393
20250807-104233,2022-07-25,763.916712699562
20250807-104233,2022-07-26,752.8630816097345
20250807-104233,2022-07-27,775.8668305855396
20250807-104233,2022-07-28,806.5503253096412
20250807-104233,2022-07-29,816.7280574349234
20250807-104233,2022-08-01,799.3124151813738
20250807-104233,2022-08-02,821.3593368598395
20250807-104233,2022-08-03,835.4390926122559
20250807-104233,2022-08-04,853.505648450329
20250807-104233,2022-08-05,865.3923088402319
20250807-104233,2022-08-08,873.5995391401118
20250807-104233,2022-08-09,862.780861257106
20250807-104233,2022-08-10,904.9480845624776
20250807-104233,2022-08-11,899.2292419845211
20250807-104233,2022-08-12,905.4096933468223
20250807-104233,2022-08-15,931.9846386126578
20250807-104233,2022-08-16,920.6513825180468
20250807-104233,2022-08-17,925.0563859563747
20250807-104233,2022-08-18,901.1731476557719
20250807-104233,2022-08-19,888.4495541577935
20250807-104233,2022-08-22,869.4367892588718
20250807-104233,2022-08-23,882.507201361974
20250807-104233,2022-08-24,913.9213985589079
20250807-104233,2022-08-25,916.3260704025279
20250807-104233,2022-08-26,901.0846143979543
20250807-104233,2022-08-29,901.6203489365225
20250807-104233,2022-08-30,896.0234693303944
20250807-104233,2022-08-31,894.7181347274943
20250807-104233,2022-09-01,899.5164683020796
20250807-104233,2022-09-02,913.6158876138713
20250807-104233,2022-09-05,931.1695893514739
20250807-104233,2022-09-06,920.4088293000478
20250807-104233,2022-09-08,928.0358493945938
20250807-104233,2022-09-09,937.9173496524493
20250807-104233,2022-09-12,942.9990351165059
20250807-104233,2022-09-13,929.3278303604153
20250807-104233,2022-09-14,947.0449351977968
20250807-104233,2022-09-15,956.7008877979698
20250807-104233,2022-09-16,968.7295306000141
20250807-104233,2022-09-19,971.9037719542453
20250807-104233,2022-09-20,973.5081654386204
20250807-104233,2022-09-21,979.0795563753732
20250807-104233,2022-09-22,1006.8963327460594
20250807-104233,2022-09-23,988.4700747377091
20250807-104233,2022-09-26,955.3622181801628
20250807-104233,2022-09-27,959.0907233703203
20250807-104233,2022-09-28,972.8482988722383
20250807-104233,2022-09-29,966.8399034396126
20250807-104233,2022-09-30,997.5135825315419
20250807-104233,2022-10-03,1051.0937736227647
20250807-104233,2022-10-04,1033.7585287505622
20250807-104233,2022-10-05,1015.764042321201
20250807-104233,2022-10-06,1031.338231573951
20250807-104233,2022-10-07,1025.4302267029368
20250807-104233,2022-10-10,1038.1795579715433
20250807-104233,2022-10-11,1022.6007277937176
20250807-104233,2022-10-13,1020.3762039885316
20250807-104233,2022-10-14,1008.9146393776035
20250807-104233,2022-10-17,1018.6559610557406
20250807-104233,2022-10-18,1025.9178762350157
20250807-104233,2022-10-19,1016.4918923737928
20250807-104233,2022-10-20,1013.5507234214666
20250807-104233,2022-10-21,1036.1515617017121
20250807-104233,2022-10-24,1029.076663776
20250807-104233,2022-10-25,1033.452273453525
20250807-104233,2022-10-26,996.8840952225676
20250807-104233,2022-10-27,1025.611999478406
20250807-104233,2022-10-28,1034.845842602651
20250807-104233,2022-10-31,1064.3114461891614
20250807-104233,2022-11-01,1076.2076548926518
20250807-104233,2022-11-03,1076.812189782212
20250807-104233,2022-11-04,1102.4496444026036
20250807-104233,2022-11-07,1053.5733474488345
20250807-104233,2022-11-08,1063.253666233635
20250807-104233,2022-11-09,1057.1738722015743
20250807-104233,2022-11-10,1020.3910299307582
20250807-104233,2022-11-11,1018.6548803679373
20250807-104233,2022-11-14,1011.5515412151098
20250807-104233,2022-11-16,980.043569367178
20250807-104233,2022-11-17,959.4430131126562
20250807-104233,2022-11-18,956.0588744481132
20250807-104233,2022-11-21,972.8770293871296
20250807-104233,2022-11-22,951.6897561692288
20250807-104233,2022-11-23,936.3870720938269
20250807-104233,2022-11-24,976.0247249007139
20250807-104233,2022-11-25,950.3754447332824
20250807-104233,2022-11-28,935.8336275756586
20250807-104233,2022-11-29,952.3687506390297
20250807-104233,2022-11-30,948.6046264900981
20250807-104233,2022-12-01,946.9857523906657
20250807-104233,2022-12-02,980.0979969035999
20250807-104233,2022-12-05,929.315243858767
20250807-104233,2022-12-06,924.0669594605274
20250807-104233,2022-12-07,933.6244652212574
20250807-104233,2022-12-08,926.0351898035497
20250807-104233,2022-12-09,926.1857650848094
20250807-104233,2022-12-12,912.5137327115914
20250807-104233,2022-12-13,907.0223233825882
20250807-104233,2022-12-14,934.2141986950134
20250807-104233,2022-12-15,947.1476294186702
20250807-104233,2022-12-16,922.1548312596556
20250807-104233,2022-12-19,961.7799419240508
20250807-104233,2022-12-20,993.8988252627419
20250807-104233,2022-12-21,1000.8654419937596
20250807-104233,2022-12-22,1004.9015052317336
20250807-104233,2022-12-23,1007.1268693261034
20250807-104233,2022-12-26,1003.3278705177439
20250807-104233,2022-12-27,998.9062059706181
20250807-104233,2022-12-28,1018.1489278070097
20250807-104233,2022-12-29,1036.9341864033254
20250807-104233,2023-01-02,992.4030679286085
20250807-104233,2023-01-03,993.5211797547921
20250807-104233,2023-01-04,1007.4623238760054
20250807-104233,2023-01-05,1022.9777221102178
20250807-104233,2023-01-06,1031.9171800543097
20250807-104233,2023-01-09,1034.0480250473493
20250807-104233,2023-01-10,1054.8508690223923
20250807-104233,2023-01-11,1069.5408719670454
20250807-104233,2023-01-12,1082.703405408964
20250807-104233,2023-01-13,1083.139281376861
20250807-104233,2023-01-16,1075.6321174830748
20250807-104233,2023-01-17,1084.193196321266
20250807-104233,2023-01-18,1081.9506585397737
20250807-104233,2023-01-19,1081.0354147896464
20250807-104233,2023-01-20,1084.421980029084
20250807-104233,2023-01-23,1103.6185777148023
20250807-104233,2023-01-24,1133.867409163613
20250807-104233,2023-01-25,1149.7985652028315
20250807-104233,2023-01-26,1144.1636616495236
20250807-104233,2023-01-27,1126.6531575925012
20250807-104233,2023-01-30,1131.8255570913234
20250807-104233,2023-01-31,1150.292561123303
20250807-104233,2023-02-01,1138.4632218054653
20250807-104233,2023-02-02,1134.2649308561245
20250807-104233,2023-02-03,1112.9624436907648
20250807-104233,2023-02-06,1100.877248972658
20250807-104233,2023-02-07,1099.3294196117808
20250807-104233,2023-02-08,1101.6279340855062
20250807-104233,2023-02-09,1078.4471032701285
20250807-104233,2023-02-10,1097.0566819464827
20250807-104233,2023-02-13,1094.7507852683011
20250807-104233,2023-02-14,1079.5115329616372
20250807-104233,2023-02-15,1102.4566085120505
20250807-104233,2023-02-16,1087.8421718374996
20250807-104233,2023-02-17,1096.6407614786692
20250807-104233,2023-02-22,1070.4737677740445
20250807-104233,2023-02-23,1073.2456907207525
20250807-104233,2023-02-24,1066.7547135348896
20250807-104233,2023-02-27,1057.8029434545267
20250807-104233,2023-02-28,1086.7562635758034
20250807-104233,2023-03-01,1070.1920219501442
20250807-104233,2023-03-02,1072.4561563701643
20250807-104233,2023-03-03,1088.1869462280104
20250807-104233,2023-03-06,1093.1486646949982
20250807-104233,2023-03-07,1075.7672677444184
20250807-104233,2023-03-08,1091.5922649768982
20250807-104233,2023-03-09,1092.2469486248542
20250807-104233,2023-03-10,1118.1310363431403
20250807-104233,2023-03-13,1137.0438466929138
20250807-104233,2023-03-14,1117.1813791239956
20250807-104233,2023-03-15,1137.213424196586
20250807-104233,2023-03-16,1159.9134762051103
20250807-104233,2023-03-17,1149.027608560267
20250807-104233,2023-03-20,1129.3009636475424
20250807-104233,2023-03-21,1127.0733044276772
20250807-104233,2023-03-22,1130.2986443609725
20250807-104233,2023-03-23,1100.2462922869238
20250807-104233,2023-03-24,1123.4707534977933
20250807-104233,2023-03-27,1131.0613323733667
20250807-104233,2023-03-28,1145.9986534750726
20250807-104233,2023-03-29,1145.787613660016
20250807-104233,2023-03-30,1156.9378274738935
20250807-104233,2023-03-31,1141.917655390386
20250807-104233,2023-04-03,1138.3720494504496
20250807-104233,2023-04-04,1149.598345111475
20250807-104233,2023-04-05,1136.3491457526816
20250807-104233,2023-04-06,1123.3009022484885
20250807-104233,2023-04-10,1114.1796611032453
20250807-104233,2023-04-11,1157.8443186590373
20250807-104233,2023-04-12,1164.6741769577243
20250807-104233,2023-04-13,1161.7897786193234
20250807-104233,2023-04-14,1158.4133954517479
20250807-104233,2023-04-17,1151.7088668156835
20250807-104233,2023-04-18,1129.15663301312
20250807-104233,2023-04-19,1095.4762694289518
20250807-104233,2023-04-20,1083.3834255484855
20250807-104233,2023-04-24,1071.4559148801568
