Ticker,Name,Sector,Industry
FIQE3.SA,Unifique Telecomunicações S.A.,Communication Services,Telecom Services
FLRY3.SA,Fleury S.A.,Healthcare,Diagnostics & Research
FRAS3.SA,Fras-le S.A.,Consumer Cyclical,Auto Parts
G2DI33.SA,"G2D Investments, Ltd.",Financial Services,Asset Management
GFSA3.SA,Gafisa S.A.,Consumer Cyclical,Residential Construction
GGBR4.SA,Gerdau S.A.,Basic Materials,Steel
GMAT3.SA,Grupo Mateus S.A.,Consumer Cyclical,Department Stores
GNDI3.SA,N/A,Unknown,Unknown
GUAR3.SA,Guararapes Confecções S.A.,Consumer Cyclical,Apparel Retail
HAPV3.SA,Hapvida Participações e Investimentos S.A.,Financial Services,Insurance - Life
HBSA3.SA,Hidrovias do Brasil S.A.,Industrials,Integrated Freight & Logistics
HYPE3.SA,Hypera S.A.,Healthcare,Drug Manufacturers - Specialty & Generic
IGTA3.SA,N/A,Unknown,Unknown
IGTI11.SA,Iguatemi S.A.,Real Estate,Real Estate Services
MEAL3.SA,International Meal Company Alimentação S.A.,Consumer Cyclical,Restaurants
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Technology,Communication Equipment
RANI3.SA,Irani Papel e Embalagem S.A.,Consumer Cyclical,Packaging & Containers
IRBR3.SA,IRB-Brasil Resseguros S.A.,Financial Services,Insurance - Reinsurance
ISAE4.SA,ISA Energía Brasil S.A.,Utilities,Utilities - Independent Power Producers
ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates
ITUB3.SA,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional
ITUB4.SA,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional
JALL3.SA,Jalles Machado S/A,Consumer Defensive,Confectioners
JBSS32.SA,JBS N.V.,Consumer Defensive,Packaged Foods
JHSF3.SA,JHSF Participações S.A.,Real Estate,Real Estate - Development
JSLG3.SA,JSL S.A.,Industrials,Integrated Freight & Logistics
KEPL3.SA,Kepler Weber S.A.,Industrials,Farm & Heavy Construction Machinery
KLBN11.SA,Klabin S.A.,Basic Materials,Paper & Paper Products
KLBN4.SA,Klabin S.A.,Basic Materials,Paper & Paper Products
KRSA3.SA,N/A,Error,HTTP Error 404:
LAME4.SA,N/A,Unknown,Unknown
LAVV3.SA,Lavvi Empreendimentos Imobiliários S.A.,Real Estate,Real Estate Services
LCAM3.SA,N/A,Unknown,Unknown
LJQQ3.SA,Lojas Quero-Quero S.A.,Consumer Cyclical,Specialty Retail
LOGG3.SA,LOG Commercial Properties e Participações S.A.,Real Estate,Real Estate Services
LREN3.SA,Lojas Renner S.A.,Consumer Cyclical,Department Stores
LWSA3.SA,Locaweb Serviços de Internet S.A.,Technology,Software - Infrastructure
MATD3.SA,Hospital Mater Dei S.A.,Healthcare,Medical Care Facilities
MDIA3.SA,M. Dias Branco S.A. Indústria e Comércio de Alimentos,Consumer Defensive,Packaged Foods
MDNE3.SA,Moura Dubeux Engenharia S.A.,Real Estate,Real Estate Services
MEAL3.SA,International Meal Company Alimentação S.A.,Consumer Cyclical,Restaurants
MEGA3.SA,N/A,Unknown,Unknown
MELK3.SA,Melnick Desenvolvimento Imobiliário S.A.,Real Estate,Real Estate Services
MGLU3.SA,Magazine Luiza S.A.,Consumer Cyclical,Specialty Retail
MIL3.SA,N/A,Error,HTTP Error 404:
MILS3.SA,"Mills Locação, Serviços e Logística S.A.",Industrials,Rental & Leasing Services
MOTV3.SA,Motiva Infraestrutura de Mobilidade S.A.,Industrials,Infrastructure Operations
MOVI3.SA,Movida Participações S.A.,Industrials,Rental & Leasing Services
MRFG3.SA,Marfrig Global Foods S.A.,Consumer Defensive,Packaged Foods
MRVE3.SA,MRV Engenharia e Participações S.A.,Real Estate,Real Estate - Development
MTRE3.SA,Mitre Realty Empreendimentos e Participações S.A.,Real Estate,Real Estate - Development
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.,Real Estate,Real Estate Services
MYPK3.SA,Iochpe-Maxion S.A.,Consumer Cyclical,Auto Parts
NEOE3.SA,Neoenergia S.A.,Utilities,Utilities - Regulated Electric
NTCO3.SA,Natura &Co Holding S.A.,Consumer Defensive,Household & Personal Products
ODPT3.SA,N/A,Error,HTTP Error 404:
ODPV3.SA,Odontoprev S.A.,Healthcare,Healthcare Plans
ONCO3.SA,Oncoclínicas do Brasil Serviços Médicos S.A.,Healthcare,Medical Care Facilities
OPCT3.SA,OceanPact Serviços Marítimos S.A.,Industrials,Specialty Business Services
ORVR3.SA,Orizon Valorização de Resíduos S.A.,Industrials,Waste Management
PARD3.SA,N/A,Unknown,Unknown
PCAR3.SA,Companhia Brasileira De Distribuicao,Consumer Cyclical,Department Stores
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated
PETZ3.SA,Pet Center Comércio e Participações S.A.,Consumer Cyclical,Specialty Retail
PGMN3.SA,Empreendimentos Pague Menos S.A.,Healthcare,Pharmaceutical Retailers
PLPL3.SA,PLANOEPLANO ON NM,Real Estate,Real Estate - Development
PNVL3.SA,Dimed S.A. Distribuidora de Medicamentos,Healthcare,Drug Manufacturers - General
PORT3.SA,Wilson Sons S.A.,Industrials,Marine Shipping
POSI3.SA,Positivo Tecnologia S.A.,Technology,Computer Hardware
PRIO3.SA,Prio S.A.,Energy,Oil & Gas E&P
PRNR3.SA,Priner Serviços Industriais S.A.,Industrials,Engineering & Construction
PRTB3.SA,N/A,Error,HTTP Error 404:
PSSA3.SA,Porto Seguro S.A.,Financial Services,Insurance - Diversified
RADL3.SA,Raia Drogasil S.A.,Healthcare,Pharmaceutical Retailers
RAIL3.SA,Rumo S.A.,Industrials,Railroads
RAIZ4.SA,Raízen S.A.,Utilities,Utilities - Renewable
RANI3.SA,Irani Papel e Embalagem S.A.,Consumer Cyclical,Packaging & Containers
RAPT4.SA,Randoncorp S.A.,Industrials,Farm & Heavy Construction Machinery
RDOR3.SA,Rede D'Or São Luiz S.A.,Healthcare,Medical Care Facilities
RECV3.SA,Petroreconcavo S.A.,Energy,Oil & Gas E&P
RENT3.SA,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services
RRRP3.SA,N/A,Unknown,Unknown
SANB11.SA,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional
